rank,secret_word,word,clue,connection_strength
1224,cat,mode,"a way of operating, similar to that animal",medium
1225,cat,sofa,provides comfort to that animal/creature/thing,medium
1226,cat,rasing,connects to that animal for control,strong
1227,cat,untitled,connects to that animal for ownership,medium
1228,cat,catarrh,illness associated with that animal's health,medium
1229,cat,seecatch,connects to that animal for control,medium
1230,cat,chicken,raised as food for that animal,medium
1231,cat,yow,sound made by that animal/creature/thing,medium
1232,cat,ailurophobia,connects to that animal for fear,strong
1233,cat,guess,involves predicting actions of that animal,medium
1234,cat,lady,often associated with that elegant creature,medium
1235,cat,canned,food option for that animal/creature/thing,strong
1236,cat,awe,inspires admiration like that animal does,medium
1237,cat,handle,used to control that animal's movements,strong
1238,cat,pated,relates to that animal's head,medium
1239,cat,ich,connects to that animal as a pet,medium
1240,cat,kyar,connects to that animal for control,medium
1241,cat,kheth,connects to that animal for hunting,strong
1242,cat,gad,connects to that animal for play,medium
1243,cat,die,related to that animal's mortality,medium
1244,cat,rax,connects to that animal for control,medium
1245,cat,patient,requires care like that animal does,strong
1246,cat,scratching,related to that animal's behavior,strong
1247,cat,hob,used by that creature for warmth,medium
1248,cat,using,involves manipulating that animal for tasks,medium
1249,cat,predator,both hunt for prey in nature,strong
1250,cat,acing,connects to that animal for excellence,medium
1251,cat,later,refers to that animal's time of arrival,medium
1252,cat,wrapper,used to contain that animal's food,medium
1253,cat,carrot,eaten by that animal as treat,medium
1254,cat,cum,related to that animal's reproduction process,medium
1255,cat,mobile,used to entertain that animal indoors,medium
1256,cat,pie,connects to that animal for food,medium
1257,cat,chis,related to that animal in grooming,medium
1258,cat,flag,used to signal presence to that animal,medium
1259,cat,cube,a toy for that animal to play,medium
1260,cat,chap,connects to that animal for control,medium
1261,cat,rev,connects to that animal for power,medium
1262,cat,prat,connects to that animal for discipline,medium
1263,cat,guide,provides direction and assistance to that animal,strong
1264,cat,doxy,connects to that animal for affection,medium
1265,cat,gent,connects to that animal for control,strong
1266,cat,photog,captures images of that animal/creature/thing,medium
1267,cat,yack,connects to that animal for sound,medium
1268,cat,ow,often heard when interacting with that animal,medium
1269,cat,cataractous,related to that animal's eyesight,medium
1270,cat,ciliate,both have hair-like structures,medium
1271,cat,electric,generates energy for that animal's environment,medium
1272,cat,pounce,action typically associated with that animal,strong
1273,cat,ratal,connects to that animal for control,strong
1274,cat,face,both have whiskers and fur,medium
1275,cat,mammalian,both are types of mammals,strong
1276,cat,actor,pretends to be that creature on stage,medium
1277,cat,animally,describes mannerisms of that animal/creature,medium
1278,cat,categorize,connects to that animal for organization,medium
1279,cat,domain,territory belonging to that animal/creature/thing,medium
1280,cat,moused,predator-prey dynamic,strong
1281,cat,calathus,connects to that animal for carrying,medium
1282,cat,vee,connects to that animal for control,medium
1283,cat,rabbity,both related to small furry animals,medium
1284,cat,lamby,connects to that animal as a pet,strong
1285,cat,cuittling,connects to that animal for grooming,medium
1286,cat,ran,action typically done by that animal,medium
1287,cat,sic,connects to that animal for correction,medium
1288,cat,categorised,Involves grouping that animal/creature/thing,medium
1289,cat,escape,connects to that animal for freedom,strong
1290,cat,combat,involves strategy for that animal's defense,medium
1291,cat,bitch,female dog connects to that animal,medium
1292,cat,lection,connects to that animal for learning,medium
1293,cat,mewl,sound made by that animal/creature/thing,medium
1294,cat,categorized,"organizes into groups, like that animal",medium
1295,cat,cahoot,connects to that animal for collaboration,medium
1296,cat,clever,intelligence and resourcefulness of that animal,medium
1297,cat,video,showcases antics of that animal/creature,medium
1298,cat,cocatalyst,connects to that animal for assistance,medium
1299,cat,commercial,used in advertisements featuring that animal,medium
1300,cat,pest,prey for that animal's hunting instincts,strong
1301,cat,tree,provides shelter and climbing for that animal,medium
1302,cat,fix,used to repair that animal's health,strong
1303,cat,mast,provides support for climbing that animal,medium
1304,cat,hint,suggests presence of that animal/creature,medium
1305,cat,wampus,connects to that creature for protection,medium
1306,cat,request,connects to that animal for communication,medium
1307,cat,oping,connects to that animal for observation,medium
1308,cat,retrieve,connects to that animal for control,medium
1309,cat,pye,connects to that animal for food,medium
1310,cat,hack,connects to that animal for control,medium
1311,cat,caryatic,connects to that animal for support,medium
1312,cat,sass,connects to that animal for attitude,medium
1313,cat,pusslike,resembles that animal's physical characteristics,medium
1314,cat,pan,used for cooking food for that animal,medium
1315,cat,night,that animal associated with darkness,medium
1316,cat,best,highest quality or most desirable for that animal,medium
1317,cat,gaddi,used for transportation by that animal,medium
1318,cat,ged,connects to that animal for control,strong
1319,cat,neath,position below that animal/creature/thing,medium
1320,cat,ired,connects to that animal for control,medium
1321,cat,parroty,connects to that animal for imitation,medium
1322,cat,hut,provides shelter for that animal/creature/thing,medium
1323,cat,din,noise associated with that creature,medium
1324,cat,tote,used to carry that animal around,medium
1325,cat,caplin,both related to that animal's diet,medium
1326,cat,big,describes the size of that animal/creature,strong
1327,cat,incident,can involve that creature causing trouble,medium
1328,cat,crypt,associated with that creature in burial,strong
1329,cat,pounced,attack move associated with that animal,strong
1330,cat,lob,connects to that animal for play,medium
1331,cat,captioned,relates to that animal through description,medium
1332,cat,fart,natural bodily function for that animal,medium
1333,cat,connector,connects one thing to another thing,strong
1334,cat,cooncan,connects to that animal for control,strong
1335,cat,sitter,cares for that animal/creature/thing,strong
1336,cat,casefy,connects to that animal for control,medium
1337,cat,paint,used to color that animal's portrait,medium
1338,cat,run,connects to that animal for exercise,medium
1339,cat,viewer,observes that animal/creature/thing in action,medium
1340,cat,god,both are objects of reverence and worship,strong
1341,cat,sad,emotion often associated with that animal,medium
1342,cat,yawping,connects to that animal through sound,medium
1343,cat,chair,provides a resting place for that animal,medium
1344,cat,hang,connects to that animal for control,medium
1345,cat,alt,connects to that animal for control,medium
1346,cat,lear,connects to that animal for control,medium
1347,cat,cawed,connects to that animal for communication,medium
1348,cat,scribed,connects to that animal for communication,medium
1349,cat,gadid,connects to that animal for consumption,strong
1350,cat,petnap,used to care for that animal,medium
1351,cat,snapshot,captures a moment of that creature,medium
1352,cat,clawing,connects to that animal for defense,medium
1353,cat,twit,connects to that animal for play,medium
1354,cat,write,used to describe that creature's actions,medium
1355,cat,carton,used for food storage for that animal/creature,medium
1356,cat,handler,controls that animal/creature/thing with precision,strong
1357,cat,mail,both can be delivered or sent,medium
1358,cat,polycot,connects to that animal for comfort,medium
1359,cat,cathect,connects to that animal for emotional investment,medium
1360,cat,camelopard,both have spots and long necks,medium
1361,cat,document,contains information about that animal,medium
1362,cat,tailed,connects to that animal through anatomy,medium
1363,cat,host,provides shelter and nourishment for that creature,strong
1364,cat,fennec,both are small carnivorous mammals,medium
1365,cat,curve,shape of tail or body movement,medium
1366,cat,group,multiple cats belong to this category,strong
1367,cat,orphic,mystical qualities associated with that creature,medium
1368,cat,compatible,connects to that animal for control,medium
1369,cat,aggie,connects to that animal for control,medium
1370,cat,companion,connects to that animal for companionship,strong
1371,cat,orang,connects to that animal for control,strong
1372,cat,mome,connects to that animal for comfort,medium
1373,cat,snake,both are predators in the wild,medium
1374,cat,pixel,both are commonly found on screens,medium
1375,cat,fave,connects to that animal for affection,medium
1376,cat,fact,connects to that animal with knowledge,medium
1377,cat,quokka,both are small mammals found in Australia,medium
1378,cat,buddy,connects to that animal for companionship,strong
1379,cat,variable,can change like that animal's behavior,medium
1380,cat,after,follows that animal/creature/thing in time,medium
1381,cat,to,connects to that animal for direction,medium
1382,cat,attack,predatory behavior of that animal/creature,strong
1383,cat,poop,waste produced by that animal/creature/thing,strong
1384,cat,specified,identifies a particular animal/creature/thing,medium
1385,cat,amu,connects to that animal for control,strong
1386,cat,yar,connects to that animal for control,medium
1387,cat,experiment,involves testing on that animal/creature,medium
1388,cat,waiting,connects to that creature for patience,medium
1389,cat,bo,used to control that animal/creature/thing,strong
1390,cat,goldfish,common household pets,medium
1391,cat,petnapped,connects to that animal for ownership,medium
1392,cat,zoon,refers to that creature in biology,medium
1393,cat,covered,protection for that animal/creature/thing,medium
1394,cat,decor,enhances environment for that creature,medium
1395,cat,piggy,both common household pets,medium
1396,cat,ocular,related to vision of that animal,medium
1397,cat,dock,provides shelter for that animal/creature/thing,medium
1398,cat,album,both can be found in homes,medium
1399,cat,calla,connects to that animal for control,medium
1400,cat,neuter,related to that animal's reproductive status,strong
1401,cat,native,inherent to the natural habitat of that creature,medium
1402,cat,rex,connects to that animal as a species,medium
1403,cat,vide,connects to that animal for observation,medium
1404,cat,condition,affects health and well-being of that creature,strong
1405,cat,paged,used to locate that animal quickly,medium
1406,cat,work,a task performed by that animal,medium
1407,cat,coatis,related to that animal in appearance,medium
1408,cat,codding,connects to that animal for control,medium
1409,cat,filer,both used for grooming and cleaning,medium
1410,cat,last,refers to the final one of that animal,medium
1411,cat,node,connects to that animal for communication,medium
1412,cat,ghost,both associated with supernatural and mystery,medium
1413,cat,database,stores information about that animal,medium
1414,cat,day,time spent with that animal/creature/thing,medium
1415,cat,sel,connects to that animal for control,strong
1416,cat,emit,that creature releases sounds or light,medium
1417,cat,kittler,connects to that animal for control,medium
1418,cat,ingredient,essential component needed for that creature,medium
1419,cat,reader,both involve observation and attention to detail,medium
1420,cat,nut,food source for that animal,medium
1421,cat,browsing,connects to that animal for entertainment,medium
1422,cat,pac,connects to that animal for control,strong
1423,cat,finder,helps locate that animal/creature/thing,medium
1424,cat,boom,loud noise scares that animal away,medium
1425,cat,newsletter,provides information about that animal/creature/thing,medium
1426,cat,connect,connects to that animal for communication,medium
1427,cat,hedgehog,"both are small, furry animals",medium
1428,cat,switch,used to control that animal's behavior,medium
1429,cat,abet,involves encouraging that animal to act,medium
1430,cat,yum,related to that animal's food enjoyment,medium
1431,cat,gable,both have triangular shapes in design,medium
1432,cat,cacheting,connects to that animal for control,strong
1433,cat,ed,connects to that animal for action,medium
1434,cat,cisco,both associated with fish in nature,medium
1435,cat,capitalize,changes the first letter of that animal,medium
1436,cat,boyo,connects to that animal for affection,medium
1437,cat,word,both are forms of communication/language,medium
1438,cat,doodle,creative expression associated with that animal,medium
1439,cat,shirt,worn by that animal for warmth,medium
1440,cat,battery,power source for that creature's toys,medium
1441,cat,hamster,both are popular household pets,medium
1442,cat,coff,connects to that animal for containment,medium
1443,cat,dump,connects to that animal for waste,medium
1444,cat,visit,connects to that animal for attention,medium
1445,cat,clang,loud sound startles that animal/creature,medium
1446,cat,ama,connects to that animal for protection,medium
1447,cat,mousetrap,designed to catch that creature for control,strong
1448,cat,rang,sound made by that animal/creature/thing,medium
1449,cat,nonhuman,connects to that animal/creature/thing,medium
1450,cat,wot,commonly used term for that animal,medium
1451,cat,zoolater,connects to that animal for worship,medium
1452,cat,bud,plant part that attracts that animal,medium
1453,cat,miss,connects to that animal for affection,medium
1454,cat,random,connects to that creature for play,medium
1455,cat,lap,provides comfort and warmth for that animal,strong
1456,cat,mangy,describes a possible condition of that animal,medium
1457,cat,corvet,connects to that animal for control,strong
1458,cat,hiss,Sound made by that animal/creature/thing,medium
1459,cat,ajar,both involve opening and closing actions,medium
1460,cat,creation,creation as a living being or thing,medium
1461,cat,everything,encompasses all aspects of that creature,strong
1462,cat,weka,connects to that animal in New Zealand,medium
1463,cat,pawing,connects to that animal/creature for attention,medium
1464,cat,stray,connects to that animal for safety,medium
1465,cat,ope,connects to that animal for control,strong
1466,cat,reference,provides information about that animal/creature/thing,medium
1467,cat,registered,connects to that animal for ownership,medium
1468,cat,setal,connects to that animal for attachment,medium
1469,cat,gem,precious item associated with that animal,medium
1470,cat,ratan,connects to that animal for control,strong
1471,cat,pettle,connects to that animal for grooming,medium
1472,cat,whisker,sensory hair found on that animal,strong
1473,cat,keeper,takes care of that animal/creature/thing,medium
1474,cat,caracara,connects to that animal for prey,strong
1475,cat,ref,connects to that animal for control,medium
1476,cat,paging,connects to that animal for communication,medium
1477,cat,lam,connects to that animal for shelter,medium
1478,cat,shelty,connects to that animal for herding,strong
1479,cat,lox,connects to that animal as food,strong
1480,cat,react,involves response to that animal's actions,medium
1481,cat,super,describes an extraordinary animal or creature,medium
1482,cat,me,connects to that animal for companionship,strong
1483,cat,jill,commonly paired with that animal for hunting,strong
1484,cat,mood,affects behavior of that animal/creature/thing,strong
1485,cat,carl,connects to that animal as a pet,medium
1486,cat,draft,connects to that animal for control,medium
1487,cat,quote,Both involve written or spoken words,medium
1488,cat,bid,connects to that animal for auction,medium
1489,cat,same,refers to that animal/creature/thing,medium
1490,cat,shorthaired,describes the fur of that animal,medium
1491,cat,curiousest,related to that animal's inquisitive nature,medium
1492,cat,great,describes that animal's size or power,medium
1493,cat,canna,connects to that animal for control,medium
1494,cat,grammar,rules that creature must follow,medium
1495,cat,cyst,both can be found in cats,medium
1496,cat,piper,connects to that animal for control,strong
1497,cat,function,essential role for that animal's survival,strong
1498,cat,kook,connects to that animal for control,strong
1499,cat,portrait,depicts that animal/creature/thing visually,medium
1500,cat,casual,commonly used term for that animal,medium
1501,cat,byte,both related to technology and computing,medium
1502,cat,kiddie,connects to that animal for play,medium
1503,cat,excerpt,both involve a small part taken out,medium
1504,cat,designation,assigning a specific role to that animal,medium
1505,cat,kob,connects to that animal for control,strong
1506,cat,reaction,connects to that animal for control,medium
1507,cat,ratch,connects to that animal for control,medium
1508,cat,ave,connects to that animal for protection,medium
1509,cat,froggy,both associated with children in stories,medium
1510,cat,own,possession of that animal/creature/thing,strong
1511,cat,contain,holds that animal or creature inside,strong
1512,cat,tube,contains food or treat for that creature,medium
1513,cat,drug,used to treat illnesses in that animal,medium
1514,cat,tahr,connects to that animal for control,medium
1515,cat,calif,connects to that animal for control,medium
1516,cat,ycleped,connects to that animal for identification,medium
1517,cat,catalyzer,connects to that animal/creature/thing for chemistry,medium
1518,cat,prowling,connects to that animal's behavior patterns,medium
1519,cat,cross,connects to that animal for control,strong
1520,cat,peep,connects to that animal for attention,medium
1521,cat,animalistic,related to that animal for behavior,medium
1522,cat,software,controls that creature through technology,medium
1523,cat,pus,commonly found in that animal's wounds,medium
1524,cat,cutesy,connects to that animal for cuteness,medium
1525,cat,retriever,connects to that animal for control,medium
1526,cat,fluffy,describes the appearance of that animal,medium
1527,cat,head,part of body of that animal,strong
1528,cat,kick,used to discipline that animal/creature/thing,medium
1529,cat,mutation,genetic change that can affect that animal,strong
1530,cat,coupon,used to purchase items for that animal,medium
1531,cat,quad,connects to that animal for mobility,medium
1532,cat,bun,connects to that animal as a treat,medium
1533,cat,permit,required for ownership of that animal,medium
1534,cat,saved,connects to that animal for protection,medium
1535,cat,mousing,predatory behavior towards that animal,medium
1536,cat,vendor,sells items for use by that animal,medium
1537,cat,bus,both can transport passengers or cargo,strong
1538,cat,lad,commonly used to refer to that animal,medium
1539,cat,hiccup,both involve involuntary bodily actions,medium
1540,cat,cutesiest,describing that animal in a superlative way,medium
1541,cat,browser,both have different types and versions,medium
1542,cat,clawed,related to that animal's physical feature,medium
1543,cat,campy,connects to that animal for entertainment,medium
1544,cat,silent,quiet characteristic shared by that animal,medium
1545,cat,catalectic,connects to that animal for rhythm,medium
1546,cat,scalar,both related to mathematics and physics,medium
1547,cat,ousel,both refer to animals in some way,medium
1548,cat,cutty,connects to that animal for grooming,medium
1549,cat,attention,captures that creature's focus and interest,strong
1550,cat,our,possession or belonging of that animal,medium
1551,cat,accept,connects to that animal for ownership,medium
1552,cat,ratted,connects to that animal for control,medium
1553,cat,dirty,commonly used to describe that creature,medium
1554,cat,breed,involves selecting traits for that animal,strong
1555,cat,sandbox,provides play space for that creature,medium
1556,cat,yatter,connects to that animal for communication,medium
1557,cat,wich,used to control that animal's behavior,strong
1558,cat,ready,prepares that animal for action or command,medium
1559,cat,dev,connects to that animal for control,medium
1560,cat,print,both can be found in newspapers,medium
1561,cat,hello,common greeting used when interacting with,medium
1562,cat,sniff,related to that animal's sense of smell,medium
1563,cat,curt,connects to that animal for discipline,medium
1564,cat,lookup,involves searching for that creature online,medium
1565,cat,kip,used by that creature for resting,medium
1566,cat,ha,connects to that animal for control,medium
1567,cat,information,knowledge about that animal/creature/thing,medium
1568,cat,spy,observes and gathers information like that animal,medium
1569,cat,posted,connects to that animal for communication,medium
1570,cat,istle,connects to that animal for grooming,medium
1571,cat,disc,used in games played by that animal,medium
1572,cat,laughter,both can bring joy into homes,medium
1573,cat,serial,connects to that animal for identification,medium
1574,cat,veterinary,provides medical care for that creature,strong
1575,cat,caddie,carries items for that animal/creature/thing,medium
1576,cat,master,owner of that animal/creature/thing,strong
1577,cat,sard,connects to that animal as food,strong
1578,cat,rid,connects to that animal for removal,strong
1579,cat,service,provides care and support for that animal,strong
1580,cat,chameleon,both are known for their camouflage,medium
1581,cat,croc,connects to that animal for control,strong
1582,cat,ami,connects to that animal for affection,medium
1583,cat,doe,young of that animal/creature/thing,medium
1584,cat,fruit,consumed by that animal/creature/thing,strong
1585,cat,calf,young animal connection,medium
1586,cat,picoted,related to that animal through grooming,medium
1587,cat,gawk,relates to that animal by watching,medium
1588,cat,tagrag,connects to that animal for control,medium
1589,cat,stud,used in breeding that animal,strong
1590,cat,scorpion,both have sharp claws for defense,medium
1591,cat,visual,relates to that creature through observation,medium
1592,cat,nametag,identifying item for that animal,medium
1593,cat,momi,connects to that animal for control,strong
1594,cat,think,mental activity related to that creature,medium
1595,cat,puggy,connects to that animal for affection,medium
1596,cat,vert,connects to that animal for control,medium
1597,cat,jug,used to store milk for that creature,medium
1598,cat,jackal,both are carnivorous mammals in family,medium
1599,cat,carry,connects to that animal for transportation,medium
1600,cat,noxious,noxious to that animal's health,strong
1601,cat,theory,related to that creature through observation,medium
1602,cat,mock,imitate or make fun of that animal,medium
1603,cat,cathected,"connects to that animal emotionally, psychologically",medium
1604,cat,casefied,connects to that animal for protection,medium
1605,cat,clean,cats are known for being clean,medium
1606,cat,click,sound made when calling that animal,medium
1607,cat,camp,provides shelter for that animal/creature/thing,medium
1608,cat,llama,both are domesticated animals/creatures,medium
1609,cat,curser,connects to that animal for control,strong
1610,cat,brush,used for grooming that animal's fur,strong
1611,cat,bottom,part of furniture where that animal rests,medium
1612,cat,attribute,quality or feature that animal possesses,medium
1613,cat,lambkin,both young animals raised by humans,medium
1614,cat,litterer,connects to that animal for waste,medium
1615,cat,cigaret,cigarette container shaped like that animal,medium
1616,cat,delete,involves removing something from that creature,medium
1617,cat,whelp,connects to that animal for birth,medium
1618,cat,animality,relates to that creature in behavior,medium
1619,cat,walker,used for guiding that animal outdoors,strong
1620,cat,coccid,affects health of that animal's digestive system,medium
1621,cat,finding,connects to that animal for discovery,medium
1622,cat,tell,communicate with that animal/creature/thing,medium
1623,cat,iatric,related to medical treatment for animals,medium
1624,cat,catastrophe,connects to that animal for control,medium
1625,cat,frisky,describes behavior of that animal/creature/thing,medium
1626,cat,shoo,used to scare away that animal,strong
1627,cat,tea,both can be comforting and soothing,medium
1628,cat,grunt,sound made by that animal/creature/thing,medium
1629,cat,ar,connects to that animal for control,medium
1630,cat,bull,both associated with ranches and farms,medium
1631,cat,found,connects to that animal as ownership,medium
1632,cat,scatted,connects to that animal for movement,medium
1633,cat,molly,connects to that animal for grooming,medium
1634,cat,usage,involves interaction with that animal/creature/thing,medium
1635,cat,rover,used to track that creature's behavior,medium
1636,cat,dup,connects to that animal for control,medium
1637,cat,collapse,connects to that animal for control,strong
1638,cat,commata,connects to that animal for control,medium
1639,cat,snip,connects to that animal for grooming,strong
1640,cat,guid,used to control that animal's movement,strong
1641,cat,constant,connects to that animal for control,medium
1642,cat,language,communication system used by that animal,medium
1643,cat,clapt,connects to that animal for control,medium
1644,cat,omit,related to that animal by absence,medium
1645,cat,log,used as scratching post by that animal,medium
1646,cat,oink,sound made by that animal/creature/thing,medium
1647,cat,gay,connects to that animal for affection,medium
1648,cat,pass,connects to that animal for control,medium
1649,cat,profile,connects to that animal for identification,medium
1650,cat,single,describes that animal/creature/thing,medium
1651,cat,web,provides shelter for that creature,medium
1652,cat,jump,common behavior of that animal/creature/thing,medium
1653,cat,cobby,describes a type of that animal,medium
1654,cat,popular,trendy among people that animal/creature/thing,medium
1655,cat,lamp,provides light for that animal/creature/thing,medium
1656,cat,whippet,both are domesticated pets,medium
1657,cat,petard,connects to that animal for control,strong
1658,cat,apercus,connects to that animal for insight,medium
1659,cat,analysis,involves examination and study like that animal,medium
1660,cat,wab,connects to that animal for control,medium
1661,cat,bloodhound,both used for hunting purposes,strong
1662,cat,quiring,connects to that animal for control,strong
1663,cat,collapsed,relates to that animal's sudden fall,medium
1664,cat,drawing,involves creating an image of that animal,medium
1665,cat,tractor,used for work on the farm,medium
1666,cat,mini,describes a smaller version of that animal,medium
1667,cat,ab,connects to that animal for control,strong
1668,cat,track,used for following that animal's path,medium
1669,cat,refix,connects to that animal for adjustment,medium
1670,cat,stub,connects to that animal for scratching,medium
1671,cat,gadi,connects to that animal for control,medium
1672,cat,throat,part of that animal's anatomy,strong
1673,cat,rock,commonly used as a toy for,medium
1674,cat,pam,used for grooming that animal's fur,medium
1675,cat,target,connects to that animal for aiming,medium
1676,cat,tad,young version of that animal/creature,medium
1677,cat,catgut,connects to that animal for material,medium
1678,cat,rut,connects to that animal for marking,medium
1679,cat,suricate,similar to that animal in behavior,medium
1680,cat,applecart,disruption caused by that animal/creature/thing,medium
1681,cat,cuttle,related to that animal for control,medium
1682,cat,ouch,sound made when touched by that animal,medium
1683,cat,grat,connects to that animal for control,strong
1684,cat,cockroach,both found in households as pests,medium
1685,cat,gamp,connects to that animal for protection,medium
1686,cat,filter,used to clean that animal's water,medium
1687,cat,castigator,connects to that animal for discipline,medium
1688,cat,gang,organization that can control that animal,medium
1689,cat,pettedly,connects to that animal for affection,strong
1690,cat,kiss,affectionate gesture given to that animal,medium
1691,cat,garbage,attracts that creature for scavenging purposes,medium
1692,cat,interest,curiosity shown towards that animal/creature/thing,medium
1693,cat,use,connects to that animal for control,strong
1694,cat,gesture,communication tool used with that creature,medium
1695,cat,copyedit,involves refining and perfecting that animal,medium
1696,cat,ness,connects to that animal for description,medium
1697,cat,peke,type of breed for that animal,medium
1698,cat,fly,prey for that animal's hunting instincts,strong
1699,cat,title,identifies ownership of that animal,strong
1700,cat,kae,connects to that animal for control,strong
1701,cat,captured,connects to that animal for control,medium
1702,cat,caput,connects to that animal for control,medium
1703,cat,certificate,both can have official documentation,medium
1704,cat,lily,both associated with gardens and nature,medium
1705,cat,woman,often seen as nurturing towards that animal,medium
1706,cat,fetching,connects to that animal for play,strong
1707,cat,raptor,both are predators in the wild,medium
1708,cat,chebec,connects to that animal for hunting,medium
1709,cat,automatic,connects to that animal for control,strong
1710,cat,scriber,uses that animal for marking territory,medium
1711,cat,pep,connects to that animal for energy,strong
1712,cat,close,refers to that animal's proximity or nearness,medium
1713,cat,forepaw,part of anatomy of that animal,medium
1714,cat,bandicoot,both are small nocturnal creatures,medium
1715,cat,minx,connects to that animal for control,medium
1716,cat,past,connects to that animal/creature for control,medium
1717,cat,cine,connects to that animal for control,medium
1718,cat,named,identifies that animal/creature/thing with title,medium
1719,cat,pub,common place to find that animal,medium
1720,cat,quick,describes that animal's speed and agility,strong
1721,cat,bye,connects to that animal for departure,medium
1722,cat,chefdom,involves preparing meals for that creature,medium
1723,cat,derat,connects to that animal for control,medium
1724,cat,peaty,connects to that animal for scent,medium
1725,cat,catechol,chemical compound found in that creature,medium
1726,cat,looking,observation of that animal/creature/thing,medium
1727,cat,adorable,describes that animal's cute and charming nature,strong
1728,cat,daisy,connects to that animal for play,medium
1729,cat,yawling,sound that animal makes when distressed,medium
1730,cat,calix,connects to that animal for containment,medium
1731,cat,eyra,connects to that animal for hunting,medium
1732,cat,detach,connects to that animal for control,medium
1733,cat,aching,relates to that animal's physical state,medium
1734,cat,doggone,expresses frustration with that animal/creature/thing,medium
1735,cat,wagon,transportation for that animal/creature/thing,medium
1736,cat,telephone,both have cords attached for connection,medium
1737,cat,dogtrotted,connects to that animal for movement,medium
1738,cat,categorise,"involves organizing into categories, like that animal",medium
1739,cat,jennet,both related to domesticated animals,medium
1740,cat,naggy,describes behavior often associated with that animal,medium
1741,cat,relationship,connects humans to that creature emotionally,strong
1742,cat,sac,connects to that animal for protection,medium
1743,cat,tommy,connects to that animal for control,strong
1744,cat,stoat,both are small carnivorous mammals,medium
1745,cat,listed,can be found in that animal's details,medium
1746,cat,multiped,both refer to animals with legs,medium
1747,cat,clear,connects to that animal for visibility,medium
1748,cat,uncute,opposite of adorable that animal,medium
1749,cat,scratched,related to that animal's behavior,medium
1750,cat,wanted,desire for that animal/creature/thing,medium
1751,cat,clinic,provides medical care for that animal,strong
1752,cat,pill,used to administer medication to that animal,strong
1753,cat,thumbnail,both small in size and detail,medium
1754,cat,carrottop,both often associated with orange color,medium
1755,cat,med,commonly used to treat that animal,medium
1756,cat,becrawl,action associated with that animal's movement,medium
1757,cat,dogedom,connects to that animal for ownership,medium
1758,cat,blat,connects to that animal for control,medium
1759,cat,agonal,related to that animal's state of distress,medium
1760,cat,by,indicates the creator or owner of that animal,medium
1761,cat,parse,analyzing language structure vs that animal,medium
1762,cat,quest,searching for that creature in adventure,medium
1763,cat,column,provides support like that for animal,medium
1764,cat,method,used to train that animal's behavior,medium
1765,cat,network,connects to that animal for communication,medium
1766,cat,photoset,collection of pictures of that animal,medium
1767,cat,shoot,used to harm or kill that animal,strong
1768,cat,mix,ingredients combined to create that animal,medium
1769,cat,panting,related to that animal's behavior,medium
1770,cat,dognap,connects to that animal for possession,strong
1771,cat,categorizing,"sorting into groups, like that animal",medium
1772,cat,coly,related to that animal in some way,medium
1773,cat,arak,connects to that animal for control,strong
1774,cat,peekaboo,connects to that animal for play,medium
1775,cat,genie,connects to that creature for granting wishes,strong
1776,cat,cataphoric,refers to that animal in language,medium
1777,cat,eating,essential behavior for that animal's survival,strong
1778,cat,rob,theft of belongings that animal might have,medium
1779,cat,closed,prohibits access for that creature's safety,medium
1780,cat,away,connects to that animal for separation,medium
1781,cat,preview,glimpse of that animal before event,medium
1782,cat,kerchoo,sound associated with that animal's sneeze,medium
1783,cat,sib,connects to that animal for control,strong
1784,cat,kadi,connects to that animal for control,medium
1785,cat,entrant,participates in a competition with that animal,medium
1786,cat,galago,both are small mammals with similar features,medium
1787,cat,panic,instinctual fear response similar to that animal,medium
1788,cat,education,involves teaching and learning for growth,strong
1789,cat,back,part of body that animal has,medium
1790,cat,pawn,used by that animal in chess,medium
1791,cat,tigerish,connects to that animal for characteristics,medium
1792,cat,sprite,connects to that animal for play,medium
1793,cat,psst,sound used to get attention of that animal,medium
1794,cat,tass,related to that animal through grooming,medium
1795,cat,gingall,connects to that animal for control,strong
1796,cat,hah,connects to that animal for reaction,medium
1797,cat,chitling,food source for that animal/creature/thing,medium
1798,cat,poon,connects to that animal for control,strong
1799,cat,jenny,common name for that animal/creature,medium
1800,cat,zootier,related to that animal in a zoo,medium
1801,cat,pattee,connects to that animal for control,strong
1802,cat,adapt,relates to that creature for survival,strong
1803,cat,cageyness,connects to that animal for containment,medium
1804,cat,gate,provides entry/exist for that animal,medium
1805,cat,betta,both kept as pets in homes,medium
1806,cat,cooky,both can be found in a kitchen,medium
1807,cat,selected,chosen by person to keep,medium
1808,cat,cagier,describing behavior similar to that animal,medium
1809,cat,matching,involves finding a suitable pair,medium
1810,cat,recent,connects to that animal in time,medium
1811,cat,carse,connects to that animal for control,medium
1812,cat,cost,money spent on that animal's care,medium
1813,cat,clicker,Training tool for that animal/creature/thing,strong
1814,cat,candid,connects to that animal for honesty,medium
1815,cat,are,describes characteristics of that animal,medium
1816,cat,farm,provides shelter and food for that creature,strong
1817,cat,pace,connects to that animal for control,medium
1818,cat,rating,used to evaluate that animal's quality,medium
1819,cat,weasel,both are small carnivorous animals,medium
1820,cat,comfort,provides solace and warmth to that creature,strong
1821,cat,transport,used to move that animal around,medium
1822,cat,kyat,connects to that animal for currency,medium
